Symbol,YahooSymbol,Name,Exchange,Series
20MICRONS,20MICRONS.NS,20MICRONS,NSE,EQ
21STCENMGM,21STCENMGM.NS,21STCENMGM,NSE,EQ
360ONE,360ONE.NS,360ONE,NSE,EQ
3IINFOLTD,3IINFOLTD.NS,3IINFOLTD,NSE,EQ
3MINDIA,3MINDIA.NS,3MINDIA,NSE,EQ
3PLAND,3PLAND.NS,3PLAND,NSE,EQ
5PAISA,5PAISA.NS,5PAISA,NSE,EQ
63MOONS,63MOONS.NS,63MOONS,NSE,EQ
AAATECH,AAATECH.NS,AAATECH,NSE,EQ
AADHARHFC,AADHARHFC.NS,AADHARHFC,NSE,EQ
AAREYDRUGS,AAREYDRUGS.NS,AAREYDRUGS,NSE,EQ
AARNAV,AARNAV.NS,AARNAV,NSE,EQ
AARON,AARON.NS,AARON,NSE,EQ
AARTECH,AARTECH.NS,AARTECH,NSE,EQ
AARTIDRUGS,AARTIDRUGS.NS,AARTIDRUGS,NSE,EQ
AARTIIND,AARTIIND.NS,AARTIIND,NSE,EQ
AARTIPHARM,AARTIPHARM.NS,AARTIPHARM,NSE,EQ
AARTISURF,AARTISURF.NS,AARTISURF,NSE,EQ
AARVI,AARVI.NS,AARVI,NSE,EQ
AAVAS,AAVAS.NS,AAVAS,NSE,EQ
ABB,ABB.NS,ABB,NSE,EQ
ABBOTINDIA,ABBOTINDIA.NS,ABBOTINDIA,NSE,EQ
ABCAPITAL,ABCAPITAL.NS,ABCAPITAL,NSE,EQ
ABCOTS,ABCOTS.NS,ABCOTS,NSE,EQ
ABDL,ABDL.NS,ABDL,NSE,EQ
ABFRL,ABFRL.NS,ABFRL,NSE,EQ
ABINFRA,ABINFRA.NS,ABINFRA,NSE,EQ
ABLBL,ABLBL.NS,ABLBL,NSE,EQ
ABREL,ABREL.NS,ABREL,NSE,EQ
ABSL10BANK,ABSL10BANK.NS,ABSL10BANK,NSE,EQ
ABSLAMC,ABSLAMC.NS,ABSLAMC,NSE,EQ
ABSLBANETF,ABSLBANETF.NS,ABSLBANETF,NSE,EQ
